row          rat          err          
1.000000e+00 1.217754e+00 7.400073e-03 
2.000000e+00 1.097282e+00 8.128472e-03 
3.000000e+00 1.063649e+00 8.427276e-03 
4.000000e+00 1.061401e+00 4.400561e-02 
5.000000e+00 1.144285e+00 4.438533e-02 
6.000000e+00 1.067371e+00 1.532914e-02 
7.000000e+00 1.079723e+00 2.992815e-02 
8.000000e+00 1.064695e+00 4.955427e-02 
9.000000e+00 1.064374e+00 1.234799e-02 
1.000000e+01 1.094862e+00 1.978023e-02 
1.100000e+01 1.071765e+00 2.029642e-02 
1.200000e+01 1.080346e+00 6.846387e-03 
1.300000e+01 1.089175e+00 7.975905e-03 
1.400000e+01 1.137218e+00 4.129719e-02 
1.500000e+01 1.127618e+00 4.590406e-02 
1.600000e+01 1.149727e+00 9.890113e-03 
1.700000e+01 1.142091e+00 5.584166e-02 
1.800000e+01 1.269867e+00 2.439749e-02 
1.900000e+01 1.113306e+00 1.543801e-02 
2.000000e+01 1.287914e+00 4.870078e-03 
2.100000e+01 1.135169e+00 6.332630e-03 
2.200000e+01 1.117709e+00 1.010597e-01 
2.300000e+01 1.140375e+00 1.142249e-02 
2.400000e+01 NaN NaN 
2.500000e+01 1.118277e+00 2.916389e-02 
2.600000e+01 1.129633e+00 1.103797e-02 
2.700000e+01 1.216939e+00 1.095989e-02 
2.800000e+01 1.101123e+00 1.200181e-02 
2.900000e+01 1.106946e+00 9.320900e-03 
3.000000e+01 1.142513e+00 3.230419e-02 
3.100000e+01 1.125392e+00 7.081825e-03 
3.200000e+01 1.220714e+00 1.303915e-02 
