temp         Psat
1.100000e+03 7.165740e+02 
1.105000e+03 6.981664e+02 
1.110000e+03 6.703380e+02 
1.115000e+03 6.416132e+02 
1.120000e+03 6.101947e+02 
1.125000e+03 5.801788e+02 
1.130000e+03 5.485931e+02 
1.135000e+03 5.201962e+02 
1.140000e+03 4.899389e+02 
1.145000e+03 4.622438e+02 
1.145000e+03 4.541450e+02 
1.145000e+03 4.529085e+02 
1.150000e+03 4.209919e+02 
1.155000e+03 3.899317e+02 
1.155000e+03 3.879507e+02 
1.155000e+03 3.864174e+02 
1.160000e+03 3.531601e+02 
1.110000e+03 6.665338e+02 
1.110000e+03 6.671311e+02 
1.100000e+03 7.269200e+02 
1.090000e+03 7.824824e+02 
1.090000e+03 7.836392e+02 
1.080000e+03 8.389263e+02 
1.070000e+03 8.966031e+02 
1.060000e+03 9.437403e+02 
1.060000e+03 9.472458e+02 
1.050000e+03 9.993097e+02 
1.050000e+03 1.012680e+03 
1.040000e+03 1.054547e+03 
1.030000e+03 1.104464e+03 
1.020000e+03 1.148767e+03 
1.010000e+03 1.195084e+03 
1.000000e+03 1.240254e+03 
1.000000e+03 1.247973e+03 
1.000000e+03 1.243334e+03 
9.950000e+02 1.264804e+03 
