row          rat          err          
1.000000e+00 1.217873e+00 7.613357e-03 
2.000000e+00 1.097287e+00 7.159792e-03 
3.000000e+00 1.063659e+00 8.774448e-03 
4.000000e+00 1.065490e+00 4.076981e-02 
5.000000e+00 1.144576e+00 3.682522e-02 
6.000000e+00 1.067381e+00 1.264920e-02 
7.000000e+00 1.079728e+00 1.272945e-02 
8.000000e+00 1.064705e+00 6.155077e-03 
9.000000e+00 1.064380e+00 7.383784e-03 
1.000000e+01 1.096004e+00 1.265433e-02 
1.100000e+01 1.071822e+00 1.998689e-02 
1.200000e+01 1.080347e+00 3.410761e-03 
1.300000e+01 1.089175e+00 5.311718e-03 
1.400000e+01 1.137481e+00 3.560764e-02 
1.500000e+01 1.127829e+00 3.923490e-02 
1.600000e+01 1.149731e+00 8.941131e-03 
1.700000e+01 1.142295e+00 4.886705e-02 
1.800000e+01 1.269878e+00 6.874614e-03 
1.900000e+01 1.113310e+00 1.291989e-02 
2.000000e+01 1.287914e+00 2.698081e-03 
2.100000e+01 1.135174e+00 7.004235e-03 
2.200000e+01 1.118874e+00 9.409174e-02 
2.300000e+01 1.140393e+00 1.090259e-02 
2.400000e+01 NaN NaN 
2.500000e+01 1.118348e+00 2.501196e-02 
2.600000e+01 1.129651e+00 1.024995e-02 
2.700000e+01 1.216949e+00 7.944796e-03 
2.800000e+01 1.101121e+00 7.606839e-03 
2.900000e+01 1.106950e+00 6.102162e-03 
3.000000e+01 1.142534e+00 2.860185e-02 
3.100000e+01 1.125393e+00 5.330757e-03 
3.200000e+01 1.220725e+00 7.394408e-03 
